DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 41 9 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 62 2639 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'Photoshop ICC profile' (2017-03-28 22:15:24; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-28 22:15:24; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'cHRM' 2713 32 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'cHRM' 2713 32 (unknown) (2017-03-28 22:15:24; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2757 30512 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-28 22:15:24; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-28 22:15:24; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 4247 (2017-03-28 22:15:24; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-28 22:16:28; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-28 22:16:28; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 849 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'pHYs' 41 9 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'cHRM' 62 32 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: b'cHRM' 62 32 (unknown) (2017-03-28 22:16:28; PngImagePlugin.py:542)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 106 17851 (2017-03-28 22:16:28; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 15:46:50; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 15:46:50; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 15:46:50; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 15:46:50; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 551 (2017-03-29 15:46:50; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:03:32; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:03:32; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:03:32; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:03:32; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 2533 (2017-03-29 16:03:32; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:05:15; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:05:15; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:05:15; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:05:15; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 2533 (2017-03-29 16:05:15; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:06:07; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:06:07; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:06:07; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:06:07; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 710 (2017-03-29 16:06:07; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:06:50; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:06:50; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:06:50; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:06:50; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 3659 (2017-03-29 16:06:50; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:08:57; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:08:57; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:08:57; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:08:57; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 3991 (2017-03-29 16:08:57; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:09:55; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'iCCP' 41 2608 (2017-03-29 16:09:55; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: iCCP profile name b'ICC Profile' (2017-03-29 16:09:55; PngImagePlugin.py:312)
DEBUG:PIL.PngImagePlugin: Compression method 0 (2017-03-29 16:09:55; PngImagePlugin.py:313)
DEBUG:PIL.PngImagePlugin: STREAM b'IDAT' 2661 3401 (2017-03-29 16:09:55; PngImagePlugin.py:135)
DEBUG:PIL.PngImagePlugin: STREAM b'IHDR' 16 13 (2017-03-29 16:10:38; PngImagePlugin.py:135)
